absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,fresh_snow_12h:cm,fresh_snow_24h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms,pv_measurement
8.35,1.233,2416.25,0.0,0.0,1734.95,1.0,281.275,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1000.6,0.0,988.05,994.05,0.0,0.075,92.674995,1000.15,347.82275,-39.06525,0.0,284.67502,100.0,20712524.0,0.7,-0.32500002,0.65,0.0
8.1,1.234,4035.2,0.0,0.0,2059.875,1.0,280.85,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,999.525,0.0,987.0,993.0,0.0,0.1,92.95,999.075,96.74825,-39.38225,0.0,284.325,100.0,5624175.0,0.775,0.425,0.525,0.0
8.15,1.22975,1882.0,0.0,0.0,1675.05,1.0,280.925,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,996.975,1.0,984.425,990.425,0.0,0.2,89.2,996.475,24.241001,-38.0405,0.2,283.875,100.0,3240425.0,1.5,1.05,0.975,0.0
8.2,1.2285,1622.4,0.0,0.0,1547.55,1.0,281.05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,996.35,1.0,983.85,989.85,0.0,0.22500001,90.175,995.85,41.83075,-34.3905,0.25,284.35,100.0,3243500.0,1.575,1.0,1.2,0.0
8.375,1.227,1322.275,0.0,0.0,1053.725,1.0,281.34998,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,996.175,1.0,983.6,989.57495,0.0,0.3,92.325,995.6,57.993248,-29.26875,0.25,284.525,100.0,2528450.0,2.1999998,1.825,1.1750001,0.0
8.55,1.22325,1039.1,0.0,0.0,703.25,0.75,281.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,996.35,1.0,983.85,989.775,0.0,0.3,90.8,995.8,72.8525,-23.1805,0.35000002,284.65,100.0,2222025.0,4.55,4.25,1.625,0.0
8.75,1.221,854.6,0.0,0.0,661.05,0.0,282.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,997.05,1.0,984.475,990.45,0.0,0.3,88.525,996.45,86.76725,-16.59075,0.22500001,284.45,100.0,2160275.0,6.875,6.725,0.925,0.0
8.5,1.2260001,848.6,0.0,0.0,446.4,0.0,281.625,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,998.425,1.0,985.8,991.8,0.0,0.22500001,91.6,997.825,100.15575,-9.907,0.22500001,283.025,100.0,3682450.0,5.6,5.3,-1.9,0.0
8.05,1.231,1107.75,0.0,0.0,399.125,0.0,280.75,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1000.05,0.25,987.375,993.4,0.0,0.05,92.0,999.45,113.41,-3.4950001,0.32500002,281.95,100.0,9446075.0,4.7,4.3250003,-1.875,0.0
7.825,1.23325,1032.625,18853.3,17.775,326.5,0.0,280.35,5.75,10351.05,0.55,1003.6,97.175,0.0,0.0,1.0,0.5,1001.6,0.0,988.8,994.9,0.0,0.0,91.5,1000.9,126.8545,2.2975001,0.32500002,281.55,97.175,18019576.0,4.8,4.375,-1.925,34.76
7.45,1.2365,907.925,157293.6,72.875,358.84998,0.0,279.675,26.625,58293.67,15.950001,29753.375,88.925,0.0,0.0,1.0,0.0,1003.35,0.0,990.55,996.65,0.0,0.0,89.1,1002.65,140.71375,7.13375,0.125,281.025,88.925,28415124.0,4.95,4.3,-2.5,248.59999999999997
6.95,1.23925,1047.5,372771.03,132.175,548.625,0.0,278.6,55.775,148363.1,32.975,88060.15,88.05,0.0,0.0,1.0,0.0,1005.45,0.0,992.55,998.65,0.0,0.0,83.2,1004.725,155.078,10.694,0.1,280.575,88.05,42021824.0,4.8250003,4.15,-2.45,442.42
6.125,1.2425001,1078.525,552245.75,169.825,882.65,0.0,276.8,68.775,224238.66,51.125,151302.25,68.675,0.0,0.0,1.0,0.0,1007.3,0.0,994.375,1000.45,0.0,0.0,73.5,1006.55,169.872,12.712,0.05,280.15,68.7,53471676.0,4.575,3.775,-2.65,565.84
5.4,1.2444999,1164.5,632149.06,175.75,1142.8,0.0,275.025,79.575,267063.84,48.5,179319.97,40.225,0.0,0.0,1.0,0.0,1008.525,0.0,995.525,1001.6,0.0,0.0,64.55,1007.75,184.86975,13.019501,0.0,279.95,41.425,57627924.0,4.3,3.875,-1.875,679.8
5.2,1.244,7120.337,593308.56,148.65,1384.8,0.0,274.525,54.225,240823.53,96.125,260343.1,29.3,0.0,0.0,1.0,0.0,1009.175,0.0,996.15,1002.25,0.0,0.0,60.25,1008.35,199.7675,11.58975,0.0,280.3,36.0,58714824.0,4.4,4.3,-0.9,1154.7800000000002
5.2,1.24575,8530.5,444491.47,94.95,1548.8,0.0,274.5,39.7,169056.2,67.15,293904.75,26.5,0.0,0.0,1.0,0.0,1009.925,0.0,996.94995,1003.05005,0.0,0.0,59.3,1009.175,214.2995,8.54475,0.0,280.475,36.824997,58623200.0,4.325,4.275,-0.75,392.04
5.2,1.2505,1730.004,230472.88,34.75,1337.125,0.0,274.525,20.225,107886.02,16.775,151120.28,51.75,0.0,0.0,1.0,0.25,1010.875,0.0,997.94995,1004.1,0.0,0.0,61.55,1010.19995,228.33426,4.1215,0.0,280.25,55.375,57157100.0,3.95,3.95,-0.22500001,80.08
5.275,1.2555,1240.7,51865.926,1.5,1008.55,0.0,274.625,0.925,38091.426,0.0,30230.475,90.525,0.0,0.0,0.25,1.0,1011.775,0.0,998.9,1005.0,0.0,0.0,65.075005,1011.2,241.90475,-1.37325,0.0,279.85,90.8,55354450.0,3.525,3.525,0.35,3.08
5.3,1.259,1180.025,419.275,0.0,917.1,0.0,274.7,0.0,1683.8,0.0,0.0,99.4,0.0,0.0,0.0,1.0,1012.45,0.0,999.65,1005.8,0.0,0.0,66.9,1011.95,255.19325,-7.6064997,0.1,279.475,99.4,53106376.0,3.275,3.225,0.6,0.0
5.3,1.26075,1149.45,0.0,0.0,847.6,0.0,274.7,0.0,0.0,0.0,0.0,97.9,0.0,0.0,0.0,1.0,1013.125,0.0,1000.3,1006.425,0.0,0.0,68.225,1012.6,268.49274,-14.2355,0.1,279.225,97.9,52034924.0,2.95,2.95,0.525,0.0
5.3,1.2625,1138.225,0.0,0.0,787.15,0.0,274.75,0.0,0.0,0.0,0.0,91.05,0.0,0.0,0.0,1.0,1013.675,0.0,1000.85,1007.025,0.0,0.0,69.575,1013.175,282.1755,-20.902,0.1,279.025,91.05,51889876.0,2.55,2.475,0.5,0.0
5.4,1.26425,1129.925,0.0,0.0,733.925,0.0,274.84998,0.0,0.0,0.0,0.0,85.25,0.0,0.0,0.0,1.0,1014.075,0.0,1001.175,1007.35,0.0,0.0,71.45,1013.55,296.65625,-27.21575,0.1,278.8,85.325,51769950.0,2.1,2.05,0.57500005,0.0
5.45,1.266,1075.7,0.0,0.0,661.2,0.0,275.025,0.0,0.0,0.0,0.0,87.7,0.0,0.0,0.0,1.0,1014.375,0.0,1001.525,1007.65,0.0,0.0,73.6,1013.85,312.33075,-32.7335,0.075,278.575,87.75,51346524.0,1.8,1.5,0.875,0.0
5.5,1.2674999,979.125,0.0,0.0,674.2,0.0,275.15002,0.0,0.0,0.0,0.0,89.775,0.0,0.0,0.0,1.0,1014.7,0.0,1001.8,1008.0,0.0,0.0,74.075,1014.2,329.42926,-36.95775,0.0,278.425,89.775,50213024.0,1.7,0.925,1.4,0.0
