date_forecast,absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,fresh_snow_12h:cm,fresh_snow_1h:cm,fresh_snow_24h:cm,fresh_snow_3h:cm,fresh_snow_6h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_5min:mm,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_density:kgm3,snow_depth:cm,snow_drift:idx,snow_melt_10min:mm,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms,wind_speed_w_1000hPa:ms,pv_measurement
2022-10-28 22:00:00,8.4,1.233,1425.1,0.0,0.0,1211.7,1.0,281.4,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.1,0.0,0.0,988.5,994.5,0.0,0.0,92.7,1000.6,0.0,0.0,0.0,0.0,0.4,340.799,-38.467,0.0,284.7,100.0,29429.7,0.8,-0.4,0.7,0.0,0.0
2022-10-28 23:00:00,8.3,1.233,3077.025,0.0,0.0,2083.775,1.0,281.2,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.275,0.0,0.0,987.75,993.75,0.0,0.1,92.649994,999.825,0.0,0.0,0.0,0.0,0.525,352.5325,-39.35075,0.0,284.65002,100.0,14918.7,0.65,-0.25,0.625,0.0,0.0
2022-10-29 00:00:00,8.1,1.23325,3512.65,0.0,0.0,1823.25,1.0,280.825,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.875,0.02,0.25,986.35,992.35,0.0,0.125,92.1,998.425,0.0,0.0,0.0,0.0,0.9,11.179,-39.23325,0.025,284.1,100.0,4820.975,1.0,0.75,0.575,0.0,0.0
2022-10-29 01:00:00,8.125,1.2295,1818.0,0.0,0.0,1684.75,1.0,280.9,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.8,0.13,1.0,984.25,990.25,0.0,0.2,89.2,996.3,0.0,0.0,0.0,0.0,1.025,28.76375,-37.29325,0.25,284.0,100.0,3373.175,1.5,0.95,1.075,0.0,0.0
2022-10-29 02:00:00,8.25,1.22825,1556.0,0.0,0.0,1446.4,1.0,281.15,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.25,0.09,1.0,983.75,989.725,0.0,0.25,90.825,995.75,0.0,0.0,0.0,0.0,0.9,46.0065,-33.228,0.22500001,284.45,100.0,3025.15,1.65,1.125,1.2,0.0,0.0
2022-10-29 03:00:00,8.4,1.2262499,1232.85,0.0,0.0,893.1,1.0,281.375,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.2,0.24,1.0,983.625,989.625,0.0,0.3,92.675,995.625,0.0,0.0,0.0,0.0,1.075,61.8185,-27.81825,0.3,284.5,100.0,2414.175,2.475,2.175,1.1500001,0.0,0.0
2022-10-29 04:00:00,8.65,1.222,999.35,0.0,0.0,737.3,0.5,281.875,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.45,0.24,1.0,983.95,989.85,0.0,0.3,89.2,995.875,0.0,0.0,0.0,0.0,1.3,76.4035,-21.56325,0.32500002,284.775,100.0,2208.675,5.675,5.3,1.975,0.0,0.0
2022-10-29 05:00:00,8.725,1.22175,797.85,0.0,0.0,576.15,0.0,282.075,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,997.35,0.28,1.0,984.75,990.75,0.0,0.3,89.675,996.75,0.0,0.0,0.0,0.0,1.075,90.1475,-14.91375,0.2,284.1,100.0,2141.125,6.55,6.475,-0.14999998,0.0,0.0
2022-10-29 06:00:00,8.35,1.2277501,939.225,0.0,0.0,444.8,0.0,281.35,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.85,0.15,1.0,986.225,992.225,0.0,0.17500001,91.75,998.25,0.0,0.0,0.0,0.0,0.4,103.468,-8.26475,0.25,282.65,100.0,4733.075,5.25,4.9,-1.9749999,0.0,0.0
2022-10-29 07:00:00,8.0,1.2314999,1129.475,127.875,0.45,370.25,0.0,280.65,0.075,139.375,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1000.425,0.0,0.0,987.7,993.75,0.0,0.025,92.0,999.8,0.0,0.0,0.0,0.0,0.075,116.7425,-1.9755,0.35000002,281.85,100.0,11543.275,4.7,4.3500004,-1.725,0.0,34.76
