date_forecast,absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,fresh_snow_12h:cm,fresh_snow_1h:cm,fresh_snow_24h:cm,fresh_snow_3h:cm,fresh_snow_6h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_5min:mm,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_density:kgm3,snow_depth:cm,snow_drift:idx,snow_melt_10min:mm,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms,wind_speed_w_1000hPa:ms,pv_measurement
2022-10-28 22:00:00,8.25,1.2305,3081.325,0.0,0.0,1741.1499,1.0,281.125,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.225,0.0,0.0,985.225,991.225,0.0,0.075,93.15,997.25,0.0,0.0,0.0,0.0,0.525,352.5245,-39.38875,0.0,285.05,100.0,17112.525,1.2,-0.05,1.2,0.0,-0.0
2022-10-28 23:00:00,8.025,1.2305,3610.875,0.0,0.0,1627.35,1.0,280.725,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.85,0.02,0.25,983.85,989.85,0.0,0.125,92.175,995.85,0.0,0.0,0.0,0.0,0.825,11.18125,-39.2715,0.05,284.45,100.0,5168.4,1.45,0.9,1.1,0.0,-0.0
2022-10-29 00:00:00,8.1,1.22725,1899.8501,0.0,0.0,1750.1,1.0,280.875,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.775,0.12,1.0,981.75,987.725,0.0,0.2,89.3,993.75,0.0,0.0,0.0,0.0,0.975,28.77375,-37.32725,0.25,284.4,100.0,3518.725,1.9499999,1.1,1.6,0.0,0.0
2022-10-29 01:00:00,8.3,1.225,1558.25,0.0,0.0,1441.075,1.0,281.15,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.3,0.09,1.0,981.25,987.2,0.0,0.25,90.925,993.225,0.0,0.0,0.0,0.0,0.8,46.021,-33.25575,0.2,284.8,100.0,3183.675,1.9749999,1.075,1.6,0.0,0.0
2022-10-29 02:00:00,8.5,1.22325,1274.65,0.0,0.0,888.975,1.0,281.55,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.25,0.21,1.0,981.15,987.125,0.0,0.3,92.95,993.1,0.0,0.0,0.0,0.0,0.975,61.833,-27.8375,0.3,284.7,100.0,2489.025,2.45,1.9,1.5,0.0,0.0
2022-10-29 03:00:00,8.825,1.2195001,1037.275,0.0,0.0,766.825,0.5,282.15,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.575,0.22,1.0,981.5,987.45,0.0,0.3,89.7,993.45,0.0,0.0,0.0,0.0,1.275,76.41525,-21.57375,0.35000002,284.85,100.0,2256.05,4.875,4.425,2.0,0.0,0.0
2022-10-29 04:00:00,8.9,1.21925,684.7,0.0,0.0,457.725,0.0,282.34998,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,997.4,0.29,1.0,982.30005,988.25,0.0,0.3,90.0,994.25,0.0,0.0,0.0,0.0,1.15,90.155,-14.91525,0.25,284.25,100.0,2061.325,6.2,6.125,0.100000024,0.0,0.0
2022-10-29 05:00:00,8.475,1.225,800.8,0.0,0.0,369.95,0.0,281.55,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.95,0.18,1.0,983.775,989.75,0.0,0.17500001,92.899994,995.8,0.0,0.0,0.0,0.0,0.47500002,103.470505,-8.257,0.2,282.7,100.0,4046.3,5.05,4.7,-1.8,0.0,0.0
2022-10-29 06:00:00,8.1,1.2295,1043.975,137.575,0.5,360.85,0.0,280.875,0.075,125.85,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1000.55,0.0,0.0,985.3,991.3,0.0,0.05,93.825,997.35,0.0,0.0,0.0,0.0,0.1,116.741,-1.9595001,0.425,281.825,100.0,8002.575,4.375,3.95,-1.85,0.0,0.0
2022-10-29 07:00:00,7.85,1.232,918.05,40448.35,29.875,313.825,0.0,280.4,8.275,14996.101,0.0,0.0,99.4,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1002.1,0.0,0.0,986.775,992.8,0.0,0.0,93.3,998.8,0.0,0.0,0.0,0.0,0.0,130.26974,3.6330001,0.375,281.375,99.4,16122.325,4.675,4.0,-2.35,0.0,0.0
2022-10-29 08:00:00,7.45,1.2355,897.15,210061.0,89.125,372.025,0.0,279.625,28.275,65754.65,16.4,29541.2,99.225,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1003.975,0.0,0.0,988.65,994.65,0.0,0.0,90.4,1000.725,0.0,0.0,0.0,0.0,0.0,144.2515,8.1855,0.15,280.875,99.225,25733.0,4.8,4.0,-2.65,0.0,0.9800000000000001
2022-10-29 09:00:00,6.975,1.2385,995.0,426662.1,144.85,581.3,0.0,278.675,60.475,159747.7,30.05,83640.6,99.525,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1005.975,0.0,0.0,990.6,996.65,0.0,0.0,84.45,1002.75,0.0,0.0,0.0,0.0,0.0,158.73676,11.38725,0.1,280.475,99.525,40691.58,4.8,3.875,-2.75,0.0,12.740000000000002
2022-10-29 10:00:00,6.1,1.2425001,944.75,585371.25,175.2,884.2,0.0,276.725,71.625,237858.95,41.2,128221.7,58.85,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1007.775,0.0,0.0,992.25,998.325,0.0,0.0,75.05,1004.425,0.0,0.0,0.0,0.0,0.0,173.60974,12.990749,0.025,279.9,58.975,52314.1,4.4,3.4,-2.775,0.0,29.400000000000002
2022-10-29 11:00:00,5.425,1.24325,905.84503,636353.75,172.7,1094.95,0.0,275.05,77.45,268398.6,54.15,171576.08,38.475,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1008.775,0.0,0.0,993.2,999.275,0.0,0.0,66.375,1005.4,0.0,0.0,0.0,0.0,0.0,188.61375,12.86075,0.0,279.85,41.05,56409.547,4.075,3.575,-1.925,0.0,81.34000000000002
