absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,fresh_snow_12h:cm,fresh_snow_1h:cm,fresh_snow_24h:cm,fresh_snow_3h:cm,fresh_snow_6h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_5min:mm,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_density:kgm3,snow_depth:cm,snow_drift:idx,snow_melt_10min:mm,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms,wind_speed_w_1000hPa:ms,pv_measurement
4.1,1.27925,1708.45,0.0,0.0,1708.45,0.0,270.925,0.0,0.0,0.0,0.0,92.875,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010.7,0.0,0.0,995.0,1001.25,0.0,0.0,77.975,1007.5,250.0,0.125,0.0,0.0,0.075,25.202251,-46.4395,0.025,274.075,96.025,45044.977,5.025,4.8,1.4749999,0.0,0.0
4.025,1.2795,1499.075,0.0,0.0,1499.075,0.0,270.6,0.0,0.0,0.0,0.0,91.675,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010.1,0.0,0.0,994.4,1000.6,0.0,0.0,76.475,1006.9,250.0,0.6,0.0,0.0,0.0,44.10625,-42.62775,0.0,274.0,94.05,49256.926,4.95,4.25,2.45,0.0,0.0
4.2,1.27775,1291.125,0.0,0.0,1291.125,0.0,271.225,0.0,0.0,0.0,0.0,84.275,24.0,0.15,0.15,0.15,0.15,0.15,0.0,1.0,1009.2,0.0,0.0,993.6,999.8,0.0,0.0,80.4,1006.025,250.0,0.625,0.0,0.0,0.0,61.010498,-37.30625,0.025,274.075,89.875,46073.023,5.425,4.7,2.725,0.0,0.0
4.225,1.2755,1138.975,0.0,0.0,1138.975,0.0,271.34998,0.0,0.0,0.0,0.0,86.525,24.0,0.2,0.05,0.2,0.2,0.2,0.0,1.0,1008.4,0.0,0.0,992.725,998.94995,0.0,0.0,79.775,1005.2,250.0,0.7,0.0,0.0,0.0,76.16175,-31.066,0.1,274.35,94.85,47523.375,5.6499996,4.7,3.1,0.0,0.0
4.25,1.2722499,1078.15,0.0,0.0,1078.15,0.0,271.4,0.0,0.0,0.0,0.0,98.6,24.0,0.3,0.1,0.3,0.3,0.3,0.0,1.0,1007.575,0.0,0.0,991.85,998.05005,0.0,0.0,77.575,1004.275,250.0,0.725,0.0,0.01,0.275,90.06825,-24.410252,0.1,274.7,99.75,35488.977,5.9,5.025,3.05,0.0,0.0
4.3500004,1.27075,1017.175,0.0,0.0,1017.175,0.0,271.75,0.0,0.0,0.0,0.0,99.95,24.0,0.3,0.0,0.3,0.15,0.3,0.0,1.0,1006.875,0.0,0.0,991.2,997.4,0.0,0.0,79.925,1003.6,250.0,0.9,0.0,0.01,0.65,103.2485,-17.74975,0.1,274.6,99.95,11752.301,6.325,5.65,2.9,0.0,0.0
4.425,1.271,904.075,0.0,0.0,904.075,0.0,271.975,0.0,0.0,0.0,0.0,99.850006,24.0,0.3,0.0,0.3,0.1,0.3,0.0,1.0,1006.5,0.0,0.0,990.775,996.975,0.0,0.0,83.45,1003.2,250.0,1.475,0.0,0.01,0.45000002,116.136246,-11.43475,0.15,274.4,99.9,12170.5,6.2,5.6,2.675,0.0,0.0
4.525,1.2695,704.35,0.0,0.0,704.35,0.0,272.25,0.0,0.0,0.0,0.0,99.9,24.0,0.3,0.0,0.3,0.0,0.3,0.0,1.0,1006.125,0.0,0.0,990.3,996.5,0.0,0.0,84.3,1002.725,250.0,2.2,0.0,0.02,0.3,129.0625,-5.7834997,0.2,274.6,100.0,14639.5,5.8,5.475,1.75,0.0,0.0
4.7,1.26775,504.82498,212.2,0.75,504.82498,0.0,272.9,0.25,462.8,0.0,0.0,99.875,24.0,0.3,0.0,0.3,0.0,0.15,0.25,1.0,1006.4,0.0,0.0,990.725,996.9,0.0,0.0,86.25,1003.125,250.0,2.425,0.0,0.0275,0.45000002,142.2455,-1.0935,0.2,274.85,100.0,10786.65,5.475,5.45,-0.3,0.0,0.0
4.75,1.271,416.92502,27994.45,17.8,416.92502,0.0,272.925,5.325,10051.35,0.0,0.0,100.0,24.0,0.3,0.0,0.3,0.0,0.1,1.0,1.0,1007.25,0.0,0.0,991.55,997.75,0.0,0.0,89.1,1003.95,250.0,2.875,0.0,0.02,0.85,155.7775,2.3617501,0.275,274.275,100.0,8273.775,4.45,4.15,-1.6,0.0,0.0
