,pv_measurement
0,0.22942898
1,-0.07358761
2,-0.21216711
3,3.9182942
4,51.228207
5,150.12494
6,327.5434
7,485.84003
8,504.0883
9,450.95636
10,449.8699
11,490.8853
12,415.95752
13,403.24078
14,381.7215
15,292.4319
16,176.50194
17,98.315445
18,38.074486
19,1.265289
20,-0.13561876
21,0.07644522
22,-0.002127822
23,-0.13384384
24,-0.08947164
25,0.04581353
26,-0.3004331
27,20.058498
28,104.06547
29,223.97453
30,294.393
31,436.03723
32,606.18567
33,687.88055
34,674.49774
35,686.7201
36,689.4793
37,653.52
38,543.51373
39,385.62067
40,246.2064
41,126.303055
42,66.50249
43,10.892555
44,2.6313329
45,1.7223887
46,0.6986413
47,0.30531958
48,0.08943431
49,0.10332285
50,1.4357772
51,38.199726
52,138.07036
53,280.39316
54,466.2627
55,620.9475
56,791.7297
57,916.42676
58,979.02966
59,930.8942
60,881.60187
61,786.7346
62,614.08984
63,467.23935
64,252.64723
65,145.79303
66,70.049866
67,15.810597
68,-0.22050975
69,0.24663725
70,0.36160785
71,0.88284844
72,0.24327265
73,0.3273165
74,4.4775505
75,29.376873
76,107.468605
77,229.96835
78,432.74902
79,626.6914
80,691.3243
81,570.1425
82,583.462
83,581.2593
84,527.055
85,473.60675
86,570.02844
87,493.2256
88,338.93616
89,134.68913
90,54.79629
91,18.74035
92,-1.8215021
93,-0.23578449
94,-2.085182
95,-0.023285689
96,-1.9221281
97,-1.2814032
98,2.403574
99,40.64764
100,117.50485
101,209.30019
102,382.6173
103,568.2137
104,758.8351
105,833.4978
106,977.34064
107,973.58014
108,951.2182
109,834.4425
110,657.16595
111,535.52673
112,347.03488
113,194.7972
114,90.50155
115,26.550022
116,0.91434747
117,-0.18723617
118,-0.26891273
119,-0.01273369
120,0.3646817
121,-0.8783616
122,5.1786623
123,49.536407
124,143.23503
125,340.29285
126,469.40652
127,621.19696
128,747.3544
129,766.58044
130,815.1023
131,687.5945
132,630.38873
133,700.88324
134,655.13025
135,468.5887
136,305.98834
137,172.06517
138,95.84869
139,27.130558
140,1.8065461
141,0.6955743
142,0.24418981
143,-0.3663028
144,-0.4102773
145,-0.5496513
146,5.739978
147,52.459457
148,143.88583
149,330.92288
150,476.4978
151,662.07135
152,822.55005
153,901.6212
154,887.17
155,960.52124
156,896.3721
157,826.85974
158,697.7436
159,523.75433
160,330.74747
161,193.49237
162,94.51488
163,29.442112
164,0.6545026
165,1.2449456
166,0.010442484
167,-0.5112082
168,-1.4115132
169,-0.32918978
