,pv_measurement
0,1.0214593
1,0.27296346
2,-1.2119864
3,50.686077
4,228.96298
5,931.4011
6,1866.1523
7,2563.5288
8,2652.9338
9,2226.3325
10,2429.8293
11,2804.6865
12,2409.0881
13,2157.044
14,2209.2783
15,1748.0238
16,1286.7648
17,680.98865
18,256.54703
19,21.851357
20,1.2332892
21,0.6327327
22,1.380282
23,1.0764112
24,-2.6449742
25,-0.2746106
26,0.4743846
27,171.51823
28,708.1621
29,1419.8064
30,2062.0552
31,2867.813
32,3883.0642
33,4206.291
34,4303.514
35,4084.8394
36,4005.0522
37,3860.641
38,3252.3662
39,2874.738
40,1897.1287
41,797.70776
42,408.4643
43,118.59854
44,18.66184
45,12.778301
46,0.807703
47,7.6610265
48,-0.9982692
49,1.098607
50,21.286856
51,266.74536
52,631.8526
53,1382.6698
54,2410.153
55,3722.172
56,4005.8484
57,4676.2266
58,4726.3833
59,4570.196
60,4447.883
61,4023.9492
62,2986.577
63,2226.8037
64,1254.6945
65,725.7927
66,340.42044
67,149.24744
68,-2.0324922
69,-7.8921437
70,-6.8109236
71,-8.488309
72,-0.3790629
73,0.25113234
74,6.215197
75,142.19272
76,487.50784
77,1315.6223
78,2576.8398
79,3652.537
80,3566.011
81,3344.2397
82,3421.6548
83,3654.7393
84,3255.8896
85,2478.9443
86,3057.2295
87,2894.939
88,1886.8838
89,644.7294
90,291.00842
91,151.29251
92,-13.969264
93,-5.2960367
94,-4.8802
95,-5.314768
96,-4.7114153
97,1.3028097
98,39.06876
99,186.71072
100,581.24646
101,1497.6445
102,3000.064
103,3285.1636
104,4275.686
105,4664.8574
106,4845.8457
107,4906.739
108,4504.9297
109,4056.416
110,3656.8716
111,3017.675
112,1923.441
113,1050.4276
114,420.94843
115,170.92487
116,10.940851
117,-3.0016856
118,-3.1306186
119,2.8710988
120,-3.4387922
121,-0.95269954
122,40.00023
123,177.8901
124,604.8784
125,1627.0986
126,2699.269
127,3883.4775
128,4233.6104
129,4066.8086
130,4187.8677
131,3166.0708
132,2732.1714
133,2891.785
134,3033.0854
135,2373.098
136,1451.9918
137,836.16705
138,458.53793
139,206.56729
140,22.56207
141,0.57102466
142,-1.4000013
143,-6.283757
144,-2.4368083
145,2.0297856
146,54.378155
147,184.4747
148,543.86206
149,1590.9749
150,2602.6592
151,3713.7478
152,4035.4185
153,4425.619
154,4113.476
155,4382.217
156,4105.99
157,3599.1655
158,3380.176
159,2579.6619
160,1726.8665
161,954.29584
162,527.84894
163,204.67487
164,0.9081807
165,0.69262266
166,-0.9355822
167,2.7073867
168,-2.9219282
169,-5.3670917
170,7.90418
171,63.844955
172,128.45718
173,173.36969
174,269.73782
175,343.76678
176,531.75574
177,785.3032
178,817.0497
179,1326.8434
180,2246.437
181,2217.2131
182,1958.269
183,1753.2332
184,1108.7671
185,603.19586
186,264.914
187,141.93074
188,9.20147
189,-0.01312542
190,-8.259772
191,-7.0733924
192,0.22888863
193,1.8317064
194,41.074226
195,151.06924
196,404.11322
197,832.73315
198,1439.1995
199,2334.164
200,1830.8013
201,2116.4622
202,2018.5022
203,2300.8027
204,2677.7693
205,2872.8625
206,2076.3103
207,1180.1187
208,813.5861
209,503.714
210,217.70694
211,64.7762
212,-0.10484505
213,0.13844493
214,1.6703756
215,1.6074028
216,-1.5388976
217,-0.8110176
218,45.283195
219,135.39229
220,194.54752
221,318.80426
222,828.9286
223,1287.9944
224,2591.671
225,2242.11
226,1707.3003
227,1860.8542
228,1384.6597
229,1095.4941
230,689.99304
231,650.52405
232,433.2254
233,284.80118
234,214.743
235,52.162327
236,12.275133
237,1.8637952
238,-0.19585896
239,1.1595151
240,-0.17416398
241,2.3096359
242,25.67902
243,107.1046
244,285.36453
245,1116.6024
246,1503.1421
247,2296.6543
248,2203.665
249,1722.9475
250,1655.2742
251,1530.5372
252,2133.619
253,2354.3784
254,2043.531
255,1748.9556
256,1441.1746
257,917.3838
258,505.3534
259,196.16266
260,62.93341
261,21.190254
262,8.924106
263,-4.09606
264,2.1061802
265,5.1573553
266,85.65697
267,181.25563
268,455.3992
269,808.3972
270,1253.4243
271,1066.7976
272,1360.3334
273,1320.365
274,1353.3358
275,1020.3428
276,806.83356
277,397.2265
278,542.05493
279,490.37445
280,459.8864
281,281.6814
282,193.09259
283,53.474014
284,4.818641
285,-9.259141
286,-6.6520414
287,-0.7432934
288,-2.7373168
289,5.9764185
290,91.65343
291,182.62158
292,435.88364
293,920.65076
294,1421.9194
295,1750.8647
296,1544.0011
297,2117.787
298,2814.6562
299,2351.0051
300,1677.3535
301,1877.8142
302,1826.5326
303,1569.7762
304,1340.9137
305,839.2009
306,330.15433
307,197.92407
308,34.07329
309,-4.2755337
310,-1.4469436
311,0.026858151
312,1.6587183
313,8.46583
314,71.138824
315,235.25835
316,524.8711
317,851.5831
318,992.9209
319,1713.0746
320,2424.929
321,2742.9873
322,2563.4404
323,2785.5254
324,2542.1702
325,1991.2134
326,1152.4885
327,780.9687
328,764.5371
329,439.94318
330,162.02309
331,86.96229
332,30.075241
333,1.2146708
334,4.4019823
335,2.5195317
336,1.2417105
337,1.6349704
338,24.820564
339,86.307236
340,237.7153
341,577.529
342,1006.0254
343,1014.8597
344,1212.5316
345,1724.8547
346,1420.2869
347,1689.6248
348,1736.5062
349,1559.0156
350,1329.7836
351,1263.8751
352,867.3784
353,478.44974
354,308.21295
355,143.31575
356,42.792553
357,4.027046
358,-0.48593712
359,-1.4803971
360,0.21417569
361,4.5200977
362,64.94731
363,201.54141
364,408.1016
365,641.4236
366,955.4402
367,1060.5715
368,1699.4337
369,1979.0315
370,1842.9602
371,2322.9268
372,2062.8745
373,1888.0588
374,1134.7712
375,902.26587
376,948.4986
377,641.7778
378,292.78607
379,42.832603
380,8.751787
381,0.2728486
382,1.7503843
383,-0.9892572
384,-2.2450852
385,1.9812113
386,31.915548
